109 3563 1878 670 2839 9165 3335
110 3659 1938 721 2972 12891 1533
111 2523 1794 609 2794 12720 2432
112 3207 2039 632 7250 11338 4028
113 2590 1896 561 9201 11550 3552
114 2642 2001 567 8225 11947 1603
115 2536 1900 555 4360 15826 2958
116 2282 1921 577 8688 13636 3546
117 1856 1925 528 11822 8817 2490
118 2199 1926 518 10520 6583 1409
119 1985 1949 497 4862 12628 2802
120 1847 1992 544 9619 20763 3143
121 1417 2217 534 6587 14638 1665
122 1817 2310 513 6468 4391 1787
123 1768 2621 547 3917 3239 2802
124 1527 2574 488 2957 4015 2836
125 1527 2466 588 7028 6950 1084
126 1369 2849 507 11372 7850 1890
127 1421 2788 538 9459 3539 2641
128 1504 2556 517 17603 6951 2464
129 1404 2733 580 12482 3839 1161
130 1284 2552 596 24570 4541 1890
131 1241 2460 516 26222 4538 2603
132 1192 2199 534 12851 4086 2194
133 1538 1980 632 17465 1943 785
134 1396 1988 678 16976 4521 1942
135 1121 1999 564 7033 3976 2033
136 1145 1930 630 2144 3053 1276
137 1307 2105 660 1321 1962 723
138 1566 2181 682 1879 881 1410
139 1393 2456 827 1500 969 1403
140 1171 2542 657 773 1494 852
141 1353 2505 717 677 1679 767
142 1296 2621 764 1127 1436 1031
143 1622 2847 833 1137 581 1146
144 1305 2391 732 1227 919 558
145 1290 2360 706 766 954 719
146 1291 2259 724 732 627 1012
147 1385 2263 781 1375 322 1020
148 1658 1936 915 1309 46 494
149 1297 1999 720 1081 58 766
150 1243 2094 794 514 16 1049
151 1198 1817 781 890 12 919
152 1366 1741 719 1482 14 500
153 1631 1742 750 1347 19 785
154 1134 1376 649 550 26 1054
155 1072 1401 632 1494 24 651
156 1103 1292 635 1903 5 537
157 1196 1155 705 1921 6 809
158 1226 1134 572 1282 5 963
159 880 1032 607 1339 10 500
160 880 908 561 3009 3 555
161 903 866 567 3356 4 844
162 941 869 623 1896 0 898
163 1056 861 513 2264 0 410
164 781 837 550 3559 0 628
165 826 807 613 4126 0 854
166 728 756 612 4162 0 897
167 913 792 499 2688 0 499
168 849 757 526 3182 0 737
169 739 748 514 4494 0 1047
170 652 737 553 3933 0 856
171 685 841 591 3378 0 637
172 820 807 513 1530 0 971
173 798 820 549 2702 0 1168
174 674 891 523 2704 0 805
175 732 870 605 1653 0 734
176 768 928 533 851 0 1147
177 923 895 540 1952 0 1341
178 788 982 509 2082 0 776
179 726 1075 520 2044 0 754
180 752 987 559 629 0 1297
181 744 1065 511 1212 0 1410
182 967 1006 523 1262 1 674
183 841 1112 506 894 0 1027
184 834 1133 571 316 0 1399
185 821 1088 512 654 0 1215
186 893 1201 499 509 0 726
187 1062 1195 518 684 0 1179
188 886 1215 510 586 0 1596
189 728 1196 578 357 0 1340
190 817 1201 574 674 0 886
191 848 1238 459 985 0 1355
192 1024 1279 529 1043 0 1503
193 785 1361 561 1435 0 1144
194 885 1452 534 606 0 902
195 867 1365 472 1480 0 1344
196 947 1378 476 1576 0 1273
197 969 1284 509 864 0 801
198 834 1293 480 732 0 737
199 869 1258 512 1454 0 983
200 745 1177 432 1001 0 911
201 924 1246 503 677 0 449
202 984 1118 492 188 0 669
203 822 1003 532 372 0 955
204 791 1039 454 459 0 663
205 817 1013 521 344 0 524
206 994 875 485 189 0 630
207 932 751 461 340 0 904
208 731 772 547 494 0 570
209 783 742 428 654 0 449
210 771 674 465 410 0 697
211 1003 646 422 380 0 844
212 778 556 482 562 0 476
213 854 612 450 438 0 480
214 824 518 436 109 0 700
215 835 538 429 82 0 768
216 858 514 435 11 0 389
217 981 535 517 0 0 461
218 861 543 466 0 0 725
219 834 471 404 0 0 682
220 1027 472 437 0 0 387
221 1149 446 478 0 1 361
222 957 434 463 0 0 633
223 1069 439 396 0 0 538
224 1109 418 426 0 0 342
225 1251 419 380 0 0 429
226 1104 345 403 1 0 621
227 1161 384 403 0 0 471
228 1354 330 406 0 0 210
229 1057 288 417 0 0 476
230 1255 306 338 0 0 487
231 1141 283 310 0 0 341
232 1183 263 354 0 0 261
233 1188 240 295 0 0 397
234 998 276 265 0 0 349
235 1109 268 250 0 0 207
236 995 234 246 0 1 228
237 1011 223 192 0 0 326
238 1036 261 183 0 0 286
239 911 212 174 0 0 250
240 914 177 167 0 0 234
241 1014 184 166 0 0 180
242 922 149 150 0 0 229
243 973 130 154 0 0 167
244 808 118 130 0 0 174
245 829 125 155 0 0 171
246 767 90 128 0 0 139
247 795 93 160 0 0 163
248 870 100 132 0 0 114
249 684 72 142 0 0 141
250 819 108 152 0 0 126
251 744 98 136 0 0 106
252 737 80 107 0 0 200
253 928 63 141 0 0 261
254 723 67 135 0 0 226
255 6962 1660 2248 3 0 1106
